universe_id,seed,E,I,X,stable,lockin,stable_epoch,lock_epoch,angle_deg,aoe_align_score,aoe_flag,ft_acc_delta,ft_auc_delta,ft_r2_delta,abs_E_minus_I,logE,logX,E_rank,X_rank,dist_to_goldilocks
9256,1456562165,20.827754347520052,0.0,20.827754347520052,1,1,249,702,,,0,0.0,0.0,0.0,20.827754347520052,3.036286440892759,3.036286440892759,0.7439,0.7439,
9257,3771985483,16.896478716939292,0.0,16.896478716939292,0,0,-1,-1,,,0,0.0,0.0,0.0,16.896478716939292,2.8271052402747174,2.8271052402747174,0.6531,0.6531,
9258,1848969415,8.063747837315043,0.0,8.063747837315043,1,0,598,-1,,,0,0.0,0.0,0.0,8.063747837315043,2.0873784406659888,2.0873784406659888,0.2947,0.2947,
9259,4178700544,7.379324007883704,0.0,7.379324007883704,0,0,-1,-1,,,0,0.0,0.0,0.0,7.379324007883704,1.998682036569441,1.998682036569441,0.2567,0.2567,
9260,358740397,8.836000742278358,0.0,8.836000742278358,0,0,-1,-1,,,0,0.0,0.0,0.0,8.836000742278358,2.1788343695641323,2.1788343695641323,0.3309,0.3309,
9261,618669997,4.635154669795208,0.0,4.635154669795208,1,0,700,-1,,,0,0.0,0.0,0.0,4.635154669795208,1.533669568427873,1.533669568427873,0.1097,0.1097,
9262,1664520435,16.977609977034287,0.0,16.977609977034287,0,0,-1,-1,,,0,0.0,0.0,0.0,16.977609977034287,2.8318954157957714,2.8318954157957714,0.6551,0.6551,
9263,2124448810,22.467877377087152,0.0,22.467877377087152,1,1,330,611,,,0,0.0,0.0,0.0,22.467877377087152,3.1120866169860815,3.1120866169860815,0.772,0.772,
9264,600966114,18.92818073720415,0.0,18.92818073720415,0,0,-1,-1,,,0,0.0,0.0,0.0,18.92818073720415,2.940651855859354,2.940651855859354,0.7024,0.7024,
9265,4170389896,17.651876144225152,0.0,17.651876144225152,1,1,377,657,,,0,0.0,0.0,0.0,17.651876144225152,2.8708420748534613,2.8708420748534613,0.6743,0.6743,
9266,3513087653,40.24177191984101,0.0,40.24177191984101,1,0,584,-1,,,0,0.0,0.0,0.0,40.24177191984101,3.694905558615315,3.694905558615315,0.9327,0.9327,
9267,2997788224,14.553751690621477,0.0,14.553751690621477,0,0,-1,-1,,,0,0.0,0.0,0.0,14.553751690621477,2.6778488085331276,2.6778488085331276,0.5861,0.5861,
9268,4264615638,5.803967258022825,0.0,5.803967258022825,1,0,644,-1,,,0,0.0,0.0,0.0,5.803967258022825,1.7585416937282599,1.7585416937282599,0.173,0.173,
9269,834407932,3.1182266111717416,0.0,3.1182266111717416,1,0,528,-1,,,0,0.0,0.0,0.0,3.1182266111717416,1.1372644463694765,1.1372644463694765,0.0405,0.0405,
9270,637252525,4.729974107414296,0.0,4.729974107414296,0,0,-1,-1,,,0,0.0,0.0,0.0,4.729974107414296,1.5539197283694708,1.5539197283694708,0.1143,0.1143,
9271,3654756777,17.79555627956181,0.0,17.79555627956181,1,1,593,776,,,0,0.0,0.0,0.0,17.79555627956181,2.878948778915414,2.878948778915414,0.6773,0.6773,
9272,2136521704,1.4960926162722303,0.0,1.4960926162722303,0,0,-1,-1,,,0,0.0,0.0,0.0,1.4960926162722303,0.40285678690953525,0.40285678690953525,0.0038,0.0038,
9273,3949322545,16.986950943458183,0.0,16.986950943458183,0,0,-1,-1,,,0,0.0,0.0,0.0,16.986950943458183,2.832445457745748,2.832445457745748,0.6554,0.6554,
9274,988349709,3.705038495647313,0.0,3.705038495647313,0,0,-1,-1,,,0,0.0,0.0,0.0,3.705038495647313,1.3096936488825512,1.3096936488825512,0.065,0.065,
9275,3899690145,25.501552040461807,0.0,25.501552040461807,0,0,-1,-1,,,0,0.0,0.0,0.0,25.501552040461807,3.238739314644097,3.238739314644097,0.817,0.817,
9276,2181269669,6.256418456256394,0.0,6.256418456256394,0,0,-1,-1,,,0,0.0,0.0,0.0,6.256418456256394,1.8336078897940014,1.8336078897940014,0.1966,0.1966,
9277,3020298598,11.595781338932873,0.0,11.595781338932873,1,0,405,-1,,,0,0.0,0.0,0.0,11.595781338932873,2.45064135428744,2.45064135428744,0.4607,0.4607,
9278,545530747,9.799753467900585,0.0,9.799753467900585,1,0,527,-1,,,0,0.0,0.0,0.0,9.799753467900585,2.2823572290235274,2.2823572290235274,0.379,0.379,
