# TQE Heisenberg Fluctuation - WITH-LAW Scenario
# Run: TQE_Heisenberg_Fluctuation_20251101_054309
# Timestamp: 20251101_054309
# Master Seed: 1964260773
# N_Ensemble: 100
# Reproducibility: Set MASTER_CTRL['SEED']=1964260773 to reproduce this run
time,mean_energy,std_energy,mean_entropy,mean_coherence,mean_uncertainty,std_uncertainty,mean_delta_x
5.578595317725752345e+00,7.962458888945125324e+00,2.741337079424036371e+00,1.969381756784285731e+00,9.601883093364842192e-03,1.926363466204958241e+00,1.696216337327488777e+00,1.211793872725352994e+00
5.618729096989966365e+00,7.963257809365452466e+00,2.739649687820933543e+00,1.973469887364992070e+00,9.608946782973691245e-03,1.932806101605862859e+00,1.697453783821573747e+00,1.214015623664965959e+00
5.658862876254180385e+00,7.963836334483936241e+00,2.737835172652176130e+00,1.977552053410438715e+00,9.614277066043667996e-03,1.939525406767934390e+00,1.698747980717110639e+00,1.216460589849134744e+00
5.698996655518394405e+00,7.964142429435360881e+00,2.735899760007831194e+00,1.981623409085950360e+00,9.617373973855855573e-03,1.946489375884937312e+00,1.700105313140550356e+00,1.219123733893543671e+00
5.739130434782608425e+00,7.964126489383568597e+00,2.733847556482499108e+00,1.985685297634707913e+00,9.618015896659656838e-03,1.953661001238242489e+00,1.701538449661547769e+00,1.221996883985207782e+00
5.779264214046822445e+00,7.963741042760092093e+00,2.731678369033222697e+00,1.989740204563564596e+00,9.616274010734558383e-03,1.960998281062592996e+00,1.703063179435647889e+00,1.225069037764715540e+00
5.819397993311037354e+00,7.962940718560068909e+00,2.729386291889730920e+00,1.993784211726483679e+00,9.612006845983742456e-03,1.968453716412774890e+00,1.704693443578715550e+00,1.228326627797960091e+00
5.859531772575251374e+00,7.961682556631825669e+00,2.726959284203781309e+00,1.997820310945777500e+00,9.605034040368444839e-03,1.975973596298363999e+00,1.706435439467946402e+00,1.231753784339534974e+00
5.899665551839465394e+00,7.959926680938159471e+00,2.724379799990909845e+00,2.001846047738794709e+00,9.595334082139854448e-03,1.983497533859834849e+00,1.708282040618663400e+00,1.235332570017449116e+00
5.939799331103679414e+00,7.957637267348952825e+00,2.721626336711396643e+00,2.005860509844386907e+00,9.583204198889732489e-03,1.990958809096277760e+00,1.710208966882592829e+00,1.239043225316037278e+00
5.979933110367893434e+00,7.956373035788832482e+00,2.720330751028797067e+00,2.007867261675857051e+00,9.576074507391703697e-03,1.994599455698092827e+00,1.711190097975543889e+00,1.240947413138598687e+00
