universe_id,seed,E,I,X,stable,lockin,stable_epoch,lock_epoch,angle_deg,aoe_align_score,aoe_flag,ft_acc_delta,ft_auc_delta,ft_r2_delta,abs_E_minus_I,logE,logX,E_rank,X_rank,dist_to_goldilocks
3226,2283700734,11.723802930552004,0.0,11.723802930552004,1,0,972,-1,,,0,0.0,0.0,0.0,11.723802930552004,2.4616212136450217,2.4616212136450217,0.4791,0.4791,
3227,2460225935,21.067193008241695,0.0,21.067193008241695,1,1,351,566,,,0,0.0,0.0,0.0,21.067193008241695,3.0477169967410753,3.0477169967410753,0.7569,0.7569,
3228,2979556321,13.41337718293392,0.0,13.41337718293392,0,0,-1,-1,,,0,0.0,0.0,0.0,13.41337718293392,2.5962525062235167,2.5962525062235167,0.5499,0.5499,
3229,3118934274,9.506111418967889,0.0,9.506111418967889,1,1,457,998,,,0,0.0,0.0,0.0,9.506111418967889,2.251934899032963,2.251934899032963,0.3754,0.3754,
3230,4132702797,23.98140193451011,0.0,23.98140193451011,1,1,220,421,,,0,0.0,0.0,0.0,23.98140193451011,3.1772786105473374,3.1772786105473374,0.8066,0.8066,
3231,509339843,7.4078514419035795,0.0,7.4078514419035795,0,0,-1,-1,,,0,0.0,0.0,0.0,7.4078514419035795,2.0025404434042167,2.0025404434042167,0.2665,0.2665,
3232,1958600650,25.12361443926444,0.0,25.12361443926444,0,0,-1,-1,,,0,0.0,0.0,0.0,25.12361443926444,3.223808218162702,3.223808218162702,0.821,0.821,
3233,2490374604,13.77816905211335,0.0,13.77816905211335,1,0,898,-1,,,0,0.0,0.0,0.0,13.77816905211335,2.6230853868093584,2.6230853868093584,0.5642,0.5642,
3234,1576904098,29.673759538719732,0.0,29.673759538719732,1,1,187,967,,,0,0.0,0.0,0.0,29.673759538719732,3.390263138062485,3.390263138062485,0.8703,0.8703,
3235,2009225706,3.9662137083156965,0.0,3.9662137083156965,0,0,-1,-1,,,0,0.0,0.0,0.0,3.9662137083156965,1.3778119137484,1.3778119137484,0.082,0.082,
