universe_id,seed,E,I,X,stable,lockin,stable_epoch,lock_epoch,cold_min_z,cold_mean_z_topk,cold_count,cold_sigma_best,cold_flag,angle_deg,aoe_align_score,aoe_flag,ft_acc_delta,ft_auc_delta,ft_r2_delta,abs_E_minus_I,logE,logX,E_rank,X_rank,dist_to_goldilocks
2456,345889005,3.169317811519794,0.29221428956128914,0.8335079574184767,0,0,-1,-1,,,,,0,,,0,0.0595999999999999,0.0563546603703142,0.3393374203181014,2.877103521958505,1.1535163633170438,-0.18211202984288738,0.0473,0.0439,1.0528399440599285
2457,2354827881,14.69646297263634,0.13501361809487847,1.7858003752197407,0,0,-1,-1,,,,,0,,,0,0.0595999999999999,0.0563546603703142,0.3393374203181014,14.56144935454146,2.687606850726169,0.5798667042144863,0.5868,0.2028,0.9903343415737396
2458,1473511662,2.688624633771108,0.1934553451667231,0.46811592589494977,0,0,-1,-1,,,,,0,,,0,0.0595999999999999,0.0563546603703142,0.3393374203181014,2.495169288604385,0.9890297743006269,-0.7590393088324098,0.0311,0.011,1.0768231751002044
2459,1807800306,20.546294930349006,0.36657029766460236,6.778495303670471,1,0,891,-1,,,,,0,,,0,0.0595999999999999,0.0563546603703142,0.3393374203181014,20.179724632684405,3.022680629326984,1.9137551457099624,0.737,0.7578,0.6626289028881195
2460,60211912,7.008859355080944,0.41776670351812495,2.635261261374904,0,0,-1,-1,,,,,0,,,0,0.0595999999999999,0.0563546603703142,0.3393374203181014,6.591092651562819,1.9471749709852746,0.9689823275055349,0.2434,0.3449,0.934578290716826
2461,4076716785,3.8507461891154664,0.35384175065616497,1.2262992956002552,0,0,-1,-1,,,,,0,,,0,0.0595999999999999,0.0563546603703142,0.3393374203181014,3.4969044384593015,1.3482669448748499,0.20400093137587264,0.0758,0.1037,1.0270583051584077
2462,719282481,6.317947574759576,0.19161702843327463,1.0895637060653798,0,0,-1,-1,,,,,0,,,0,0.0595999999999999,0.0563546603703142,0.3393374203181014,6.126330546326302,1.8433944045867736,0.08577734644789581,0.2041,0.0794,1.0360332169033892
2463,2820228363,16.714791167387403,0.43347368376456596,6.520879890614563,0,0,-1,-1,,,,,0,,,0,0.0595999999999999,0.0563546603703142,0.3393374203181014,16.28131748362284,2.816294026069121,1.8750093193816848,0.6473,0.7412,0.6795380017130022
2464,3251176342,8.40336372854976,0.5358968840036413,4.053002793551134,1,1,505,998,,,,,0,,,0,0.0595999999999999,0.0563546603703142,0.3393374203181014,7.867466844546119,2.128632069568108,1.3994580369013336,0.3193,0.5369,0.8415220120130912
2465,3744224809,3.359619934269517,0.3681538314896917,1.113171256035422,0,0,-1,-1,,,,,0,,,0,0.0595999999999999,0.0563546603703142,0.3393374203181014,2.9914661027798255,1.2118278527767101,0.10721292931253482,0.0539,0.0828,1.0344836885163973
