universe_id,seed,E,I,X,stable,lockin,stable_epoch,lock_epoch,cold_min_z,cold_mean_z_topk,cold_count,cold_sigma_best,cold_flag,angle_deg,aoe_align_score,aoe_flag,ft_acc_delta,ft_auc_delta,ft_r2_delta,abs_E_minus_I,logE,logX,E_rank,X_rank,dist_to_goldilocks
9005,3521445359,14.364482087961477,0.0,14.364482087961477,1,0,860,-1,,,,,0,,,0,0.0,0.0,0.0,14.364482087961477,2.6647586380369557,2.6647586380369557,0.5826,0.5826,
9006,2217123517,33.1207622857613,0.0,33.1207622857613,1,1,310,505,,,,,0,,,0,0.0,0.0,0.0,33.1207622857613,3.5001603451266634,3.5001603451266634,0.8964,0.8964,
9007,3800278203,6.760261169094853,0.0,6.760261169094853,0,0,-1,-1,,,,,0,,,0,0.0,0.0,0.0,6.760261169094853,1.9110615237902153,1.9110615237902153,0.2266,0.2266,
9008,1030918449,94.84862439668885,0.0,94.84862439668885,1,0,720,-1,,,,,0,,,0,0.0,0.0,0.0,94.84862439668885,4.552282193341641,4.552282193341641,0.9947,0.9947,
9009,2770745082,11.664501807805248,0.0,11.664501807805248,0,0,-1,-1,,,,,0,,,0,0.0,0.0,0.0,11.664501807805248,2.4565501962721483,2.4565501962721483,0.4779,0.4779,
9010,2952980144,13.298055844584958,0.0,13.298055844584958,0,0,-1,-1,,,,,0,,,0,0.0,0.0,0.0,13.298055844584958,2.5876178474439944,2.5876178474439944,0.5425,0.5425,
9011,2965568936,25.78062932365807,0.0,25.78062932365807,0,0,-1,-1,,,,,0,,,0,0.0,0.0,0.0,25.78062932365807,3.249623408526475,3.249623408526475,0.8335,0.8335,
9012,2682124943,17.7027268439632,0.0,17.7027268439632,1,0,579,-1,,,,,0,,,0,0.0,0.0,0.0,17.7027268439632,2.8737186866949456,2.8737186866949456,0.683,0.683,
9013,2096887939,0.9681862242203235,0.0,0.9681862242203235,0,0,-1,-1,,,,,0,,,0,0.0,0.0,0.0,0.9681862242203235,-0.03233082981436578,-0.03233082981436578,0.001,0.001,
9014,1243058710,11.219752417788662,0.0,11.219752417788662,0,0,-1,-1,,,,,0,,,0,0.0,0.0,0.0,11.219752417788662,2.4176758337004354,2.4176758337004354,0.4571,0.4571,
9015,2712373027,13.163475872838386,0.0,13.163475872838386,1,0,872,-1,,,,,0,,,0,0.0,0.0,0.0,13.163475872838386,2.5774460150984893,2.5774460150984893,0.5369,0.5369,
9016,2560135972,18.12054701320461,0.0,18.12054701320461,1,1,278,492,,,,,0,,,0,0.0,0.0,0.0,18.12054701320461,2.897046488525929,2.897046488525929,0.6951,0.6951,
9017,2863831036,3.172499132124219,0.0,3.172499132124219,0,0,-1,-1,,,,,0,,,0,0.0,0.0,0.0,3.172499132124219,1.1545196470445775,1.1545196470445775,0.0453,0.0453,
9018,828726978,3.0244641096300353,0.0,3.0244641096300353,0,0,-1,-1,,,,,0,,,0,0.0,0.0,0.0,3.0244641096300353,1.1067339219482295,1.1067339219482295,0.0392,0.0392,
9019,1839168145,19.14806345388112,0.0,19.14806345388112,0,0,-1,-1,,,,,0,,,0,0.0,0.0,0.0,19.14806345388112,2.952201585389516,2.952201585389516,0.721,0.721,
9020,802611898,7.739157465242926,0.0,7.739157465242926,1,0,878,-1,,,,,0,,,0,0.0,0.0,0.0,7.739157465242926,2.046292827056894,2.046292827056894,0.2824,0.2824,
9021,2049159284,6.41142525788499,0.0,6.41142525788499,0,0,-1,-1,,,,,0,,,0,0.0,0.0,0.0,6.41142525788499,1.8580815953408552,1.8580815953408552,0.2056,0.2056,
9022,1999292685,9.992764343344618,0.0,9.992764343344618,0,0,-1,-1,,,,,0,,,0,0.0,0.0,0.0,9.992764343344618,2.301861265428629,2.301861265428629,0.3994,0.3994,
9023,3667109259,26.8830734452059,0.0,26.8830734452059,1,0,721,-1,,,,,0,,,0,0.0,0.0,0.0,26.8830734452059,3.291496848598112,3.291496848598112,0.8474,0.8474,
9024,400843422,11.722963080066563,0.0,11.722963080066563,1,0,982,-1,,,,,0,,,0,0.0,0.0,0.0,11.722963080066563,2.461549574725998,2.461549574725998,0.4805,0.4805,
9025,1352657231,4.598050409662782,0.0,4.598050409662782,1,0,727,-1,,,,,0,,,0,0.0,0.0,0.0,4.598050409662782,1.5256323896701445,1.5256323896701445,0.1073,0.1073,
9026,1837620144,79.39582174698543,0.0,79.39582174698543,0,0,-1,-1,,,,,0,,,0,0.0,0.0,0.0,79.39582174698543,4.374445744034536,4.374445744034536,0.99,0.99,
9027,508448767,14.946959317922614,0.0,14.946959317922614,0,0,-1,-1,,,,,0,,,0,0.0,0.0,0.0,14.946959317922614,2.704507889044679,2.704507889044679,0.6029,0.6029,
9028,3614770925,6.847330607704838,0.0,6.847330607704838,0,0,-1,-1,,,,,0,,,0,0.0,0.0,0.0,6.847330607704838,1.9238588840186384,1.9238588840186384,0.2329,0.2329,
9029,3992312948,14.44495548605469,0.0,14.44495548605469,1,1,325,755,,,,,0,,,0,0.0,0.0,0.0,14.44495548605469,2.670345252297368,2.670345252297368,0.5857,0.5857,
9030,352785475,17.452777928000952,0.0,17.452777928000952,1,1,271,615,,,,,0,,,0,0.0,0.0,0.0,17.452777928000952,2.8594988295602564,2.8594988295602564,0.6765,0.6765,
9031,1260316373,20.36146099199673,0.0,20.36146099199673,1,0,723,-1,,,,,0,,,0,0.0,0.0,0.0,20.36146099199673,3.0136439470645096,3.0136439470645096,0.7467,0.7467,
9032,1405208845,17.741837846776132,0.0,17.741837846776132,0,0,-1,-1,,,,,0,,,0,0.0,0.0,0.0,17.741837846776132,2.875925570544575,2.875925570544575,0.6841,0.6841,
9033,2228474962,6.344347072671635,0.0,6.344347072671635,1,0,970,-1,,,,,0,,,0,0.0,0.0,0.0,6.344347072671635,1.8475641916432366,1.8475641916432366,0.2018,0.2018,
9034,1798699325,3.7058690566785963,0.0,3.7058690566785963,0,0,-1,-1,,,,,0,,,0,0.0,0.0,0.0,3.7058690566785963,1.3099177944487712,1.3099177944487712,0.066,0.066,
9035,3573321124,21.50529452885402,0.0,21.50529452885402,1,0,397,-1,,,,,0,,,0,0.0,0.0,0.0,21.50529452885402,3.068299161973348,3.068299161973348,0.7694,0.7694,
9036,3371934569,6.724642679773732,0.0,6.724642679773732,0,0,-1,-1,,,,,0,,,0,0.0,0.0,0.0,6.724642679773732,1.9057787909572896,1.9057787909572896,0.2241,0.2241,
9037,3254199961,9.032483880008986,0.0,9.032483880008986,1,0,733,-1,,,,,0,,,0,0.0,0.0,0.0,9.032483880008986,2.200827399372689,2.200827399372689,0.3521,0.3521,
